.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Texas Instruments Incorporated,TXN,5428200,10.52,2.62,5710000000.0,3.67,0.90,3.94,3.48,75.52,76130000000.0,0.0683278688524589,2.08,21.98,-0.0018360655737704734,0.012199999999999999,0.0649,-0.0381,0.48979999999999996,7.25,20.83,19.40,5.68,2.25,0,71.78,3955507
Textron Inc.,TXT,1766710,20.41,0.17,1590000000.0,2.64,0.63,3.02,3.53,48.81,13210000000.0,0.0858324715615304,2.08,13.71,0,-0.009399999999999999,0.1065,-0.0507,0.5083,2.37,18.31,16.01,0.96,1.67,1,43.69,0
"Under Armour, Inc. Class C",UA,4554050,4.64,0,565090000.0,0.41,-0.02,0.53,0.45,23.04,8660000000.0,0.16455696202531644,9.58,43.99,0,-0.1429,-0.3204,-0.5725,0.1114,4.26,48.17,37.26,1.79,1.58,1,29.06,0
"Under Armour, Inc. Class A",UAA,5664370,4.64,0,565090000.0,0.42,-0.03,0.52,0.45,26.23,9590000000.0,0.06377079482439929,2.47,48.73,0.001848428835489857,-0.1659,-0.3465,-0.5436,0.0705,4.67,52.10,42.08,1.96,7.12,1,33.48,3334515
United Continental Holdings,UAL,3453510,26.55,0.00,6940000000.0,6.76,2.18,8.11,6.85,73.28,24100000000.0,0.12480252764612954,-1.74,11.09,0,0.0366,0.23379999999999998,-0.0109,1.0305,2.86,11.24,9.37,0.66,4.00,1,61.57,0
"UDR, Inc.",UDR,1588410,11.40,3.32,608650000.0,0.22,0.04,0.18,1.08,35.54,9510000000.0,0.03185790809134481,-4.73,32.95,0.004510854243022333,0.0013,0.0123,-0.0782,0.08539999999999999,3.11,161.77,197.72,9.83,3.96,1,35.16,1183450
"Universal Health Services, Inc.",UHS,1103810,45.33,0.33,1700000000.0,7.34,2.18,8.10,7.10,113.58,11920000000.0,0.10300499467780244,1.98,17.32,-0.006304757225906843,0.0825,0.0361,-0.12029999999999999,0.233,2.69,16.75,15.18,1.23,2.95,1,118.66,605083
"Ulta Beauty, Inc.",ULTA,716445,23.30,0.00,797090000.0,6.41,1.80,8.01,5.97,267.52,17120000000.000002,0.10661913337498641,2.00,46.12,-0.0004777830864787225,0.0285,0.0802,-0.0125,0.8747,11.68,42.93,34.35,3.73,3.30,0,254.72,449624
UnitedHealth Group Incorporated,UNH,3792340,40.20,1.59,14510000000.0,9.51,2.32,10.64,7.25,161.21,149920000000.0,0.1295447601588755,1.03,21.74,-0.028414298808432714,-0.0223,0.0625,-0.038900000000000004,0.4007,4.07,16.57,14.81,0.84,1.96,1,148.35,12033638
Unum Group,UNM,1411020,39.02,1.65,1610000000.0,4.10,1.02,4.38,3.95,45.90,11150000000.0,-0.03503054989816701,1.68,12.28,-0.006517311608961296,0.057,0.21960000000000002,-0.0172,0.8181999999999999,1.26,11.83,11.08,1.02,2.82,1,39.78,1898738
Union Pacific Corporation Commo,UNP,3737510,24.43,2.20,9310000000.0,5.64,1.33,6.33,5.07,106.64,89370000000.0,0.027317428519395337,1.74,21.66,0,0.0298,0.10830000000000001,-0.013999999999999999,0.4249,4.49,19.47,17.35,4.48,1.80,1,99.08,0
"United Parcel Service, Inc.",UPS,2988760,0.49,3.11,7690000000.0,5.95,1.48,6.47,3.87,111.77,92790000000.0,0.06892370826338379,2.10,27.62,-0.0024249207237456716,-0.0436,-0.0405,-0.1124,0.12140000000000001,217.04,17.97,16.52,1.53,3.92,1,111.41,2919138
"Urban Outfitters, Inc.",URBN,2701350,10.73,0,497690000.0,1.88,0.27,1.98,1.92,26.96,3190000000.0,0.14264487369985135,1.24,14.28,-0.003714710252600395,0.0194,-0.1503,-0.3265,0.1313,2.51,14.62,13.88,0.89,4.31,0,32.34,1386763
"United Rentals, Inc.",URI,1738930,19.57,0,1720000000.0,9.13,2.23,10.13,6.45,118.40,10630000000.0,-0.03128421711246676,1.04,19.54,-0.007117159393086214,0.0644,0.3427,-0.0393,1.7016,6.53,13.80,12.44,1.87,3.75,1,93.86,1120698
U.S. Bancorp,USB,6790420,24.63,2.04,0.00,3.49,0.87,3.84,3.24,52.46,93130000000.0,-0.01617887656789674,2.79,16.94,-0.004181057989456449,0.0461,0.1588,-0.0088,0.4642,2.23,15.72,14.29,4.72,2.78,1,47.36,6011599
United Technologies Corporation,UTX,3060540,34.10,2.35,10040000000.0,6.55,1.76,7.01,6.12,110.48,90380000000.0,0.05228874810386386,2.32,18.33,-0.0012492192379761624,0.0151,0.0529,-0.006,0.31079999999999997,3.29,17.12,16.00,1.58,2.02,1,106.52,2531804
Visa Inc.,V,10474600,11.20,0.75,11010000000.0,3.32,0.82,3.87,2.58,82.11,203270000000.0,0.12149639629333042,1.64,33.90,-0.0016016474087633403,0.0652,0.0786,-0.0025,0.257,7.80,26.34,22.60,12.71,4.88,1,81.09,5887160
"Varian Medical Systems, Inc.",VAR,893448,18.45,0.00,633400000.0,3.88,0.97,4.29,3.51,85.35,7810000000.0,0.01318198462101794,2.40,23.81,-0.00048822165263040507,-0.0204,-0.08839999999999999,-0.11019999999999999,0.2504,4.44,21.55,19.49,2.38,5.32,1,91.71,2131569
V.F. Corporation Common Stock,VFC,3537240,11.96,3.19,1780000000.0,3.18,0.35,3.38,2.55,51.82,21770000000.0,0.0702799285288862,2.44,20.68,0.017867778439547566,0.0166,-0.0639,-0.21489999999999998,0.0964,4.21,16.57,15.59,1.73,5.81,1,56.27,8838068
Viacom Inc.,VIAB,4274490,11.23,1.82,2860000000.0,3.85,1.14,4.13,3.48,40.70,17460000000.0,0.06251420777449423,2.67,12.62,0,0.0808,0.1362,-0.057800000000000004,0.2961,3.92,11.43,10.65,1.38,2.29,0,38.72,0
Valero Energy Corporation,VLO,4782300,44.89,4.28,5550000000.0,5.26,1.74,6.25,4.94,66.88,29640000000.0,0.09939939939939957,0.59,13.26,-0.004204204204204198,-0.0207,0.0785,-0.0828,0.397,1.48,12.45,10.48,0.40,2.95,1,60.72,4808766
Vulcan Materials Company (Holdi,VMC,1267140,34.49,0.84,947950000.0,4.01,1.21,5.40,3.09,126.03,15820000000.0,0.14684385382059806,1.38,38.63,-0.001245847176079784,-0.053200000000000004,-0.0083,-0.1364,0.2934,3.49,29.76,22.10,4.44,2.58,1,120.33,1471913
Vornado Realty Trust Common Sto,VNO,901926,30.99,2.59,1400000000.0,1.90,0.50,2.10,4.34,106.23,20760000000.0,0.020129337826760185,3.65,25.33,0,0.0335,0.0862,-0.0034000000000000002,0.3212,3.54,57.78,52.28,7.76,4.97,1,101.08,0
"Verisk Analytics, Inc.",VRSK,647418,8.77,0,1030000000.0,3.09,0.81,3.35,3.47,82.67,14200000000.0,0.02921083627797394,2.80,24.44,-0.0011778563015313326,0.0258,0.0325,-0.013999999999999999,0.2643,9.69,27.44,25.31,6.25,6.75,0,82.13,5987
"Ventas, Inc.",VTR,1969140,29.54,4.99,1830000000.0,1.70,0.43,1.88,1.86,61.91,22040000000.0,0.008150871024452666,5.30,33.47,0.0020776730062330717,0.0040999999999999995,-0.054299999999999994,-0.1906,0.2207,2.12,36.56,33.06,6.44,4.68,1,65.73,2153137
Verizon Communications Inc.,VZ,15623700,5.53,4.70,42990000000.0,3.86,1.01,3.99,3.21,50.68,200550000000.0,0.0777961205117621,6.57,15.32,-0.0030953363598844597,-0.029300000000000003,-0.0348,-0.1363,0.0691,8.77,12.74,12.33,1.57,1.57,1,50.97,23231396
Waters Corporation,WAT,667308,28.64,0.00,731200000.0,7.01,1.65,7.62,6.41,143.63,12400000000.0,0.018758169934640634,2.62,24.08,-0.0019607843137255943,0.0745,0.0462,-0.050499999999999996,0.2977,5.34,22.02,20.25,5.67,2.93,1,147.52,398823
"Walgreens Boots Alliance, Inc.",WBA,3968280,27.17,1.75,7890000000.0,5.00,1.33,5.52,3.78,82.55,92680000000.0,0.10086186815746556,1.36,22.72,-0.003726997437689228,0.0401,0.0451,-0.024300000000000002,0.13369999999999999,3.16,17.17,15.55,0.79,2.08,0,82.16,4106620
"WEC Energy Group, Inc. Common S",WEC,1591690,28.29,3.61,2440000000.0,3.10,0.60,3.29,2.96,58.21,18160000000.0,0.03406326034063256,2.84,19.44,0,-0.0116,-0.0213,-0.1295,0.0722,2.03,18.56,17.49,2.43,9.25,1,58.79,0
Wells Fargo & Company,WFC,21623500,35.21,2.62,0.00,4.19,1.04,4.60,3.99,55.92,291390000000.0,0.005161734342739255,1.93,14.56,-0.009291121816930481,0.038900000000000004,0.142,-0.0155,0.33390000000000003,1.65,13.86,12.63,3.45,0.00,1,50.87,15788533
"Whole Foods Market, Inc.",WFM,4742580,10.34,1.81,1370000000.0,1.34,0.35,1.36,1.38,30.42,9850000000.0,-0.06740837696335078,-6.69,22.32,-0.0019633507853402676,0.016200000000000003,0.0288,-0.1313,0.11710000000000001,2.96,23.07,22.73,0.62,7.11,0,30.05,4066454
Whirlpool Corporation,WHR,826902,64.10,2.26,2180000000.0,15.61,3.62,17.58,11.50,179.74,13190000000.0,0.12909615711132494,0.85,15.41,-0.0014149074650517957,-0.014199999999999999,0.0292,-0.08710000000000001,0.2721,2.76,11.35,10.08,0.64,4.13,1,172.17,408728
Willis Towers Watson Public Lim,WLTW,715089,73.02,1.65,1580000000.0,8.46,1.75,9.77,2.26,125.31,17500000000.0,0.07292559407869126,1.37,56.83,-0.002726918582002247,0.024900000000000002,0.0292,-0.0373,0.1971,1.76,15.18,13.15,2.25,4.92,0,124.79,32567
"Waste Management, Inc.",WM,1691240,12.06,2.35,3710000000.0,3.17,0.81,3.46,2.65,70.07,31860000000.0,0.042427648215790814,2.17,27.34,-0.0001404889013768562,0.034,0.083,-0.0003,0.3206,5.90,22.85,20.94,2.30,2.54,1,66.90,2436710
"Wal-Mart Stores, Inc. Common St",WMT,8828070,25.23,2.88,33009999999.999996,4.32,0.96,4.33,4.61,67.82,213190000000.0,0.07361695948889202,6.30,15.05,-0.0005808044141136781,0.022799999999999997,-0.0144,-0.0774,0.11259999999999999,2.73,16.06,16.02,0.44,3.60,1,70.38,12837447
Westrock Company,WRK,1556380,38.02,3.04,2160000000.0,2.62,0.81,3.04,0.54,52.94,13230000000.0,0.06626173384870238,2.19,97.88,-0.002944965948831202,-0.0053,0.0703,-0.0617,0.9178000000000001,1.43,20.10,17.32,0.96,1.74,1,49.20,2448489
Western Union Company (The),WU,5227770,1.87,3.53,746900000.0,1.70,0.42,1.78,0.51,20.74,9540000000.0,-0.012276214833759735,1.68,38.86,-0.002557544757033292,-0.044199999999999996,-0.0461,-0.12689999999999999,0.1313,10.43,11.66,11.13,1.74,8.76,1,20.78,5810318
Weyerhaeuser Company,WY,4282920,12.26,3.70,1570000000.0,1.00,0.28,1.32,1.40,31.54,25090000000.0,0.02804295942720758,6.70,23.96,-0.001491646778043032,0.0629,0.0735,-0.0141,0.4793,2.73,33.52,25.39,3.93,3.17,1,31.22,2754674
Wyndham Worldwide Corp Common,WYN,994244,7.36,2.36,1320000000.0,6.20,1.55,6.89,5.53,79.28,9140000000.0,0.04266231495512285,1.06,15.34,-0.0027975288495163397,0.0702,0.1693,-0.0216,0.3554,11.66,13.69,12.31,1.79,6.40,1,72.57,2047255
Xcel Energy Inc.,XEL,2376210,21.63,3.24,3640000000.0,2.20,0.40,2.45,2.21,41.14,21330000000.0,0.45905944139412735,3.20,19.02,0.0009548818333731113,0.0209,0.0264,-0.0753,0.10529999999999999,1.94,18.10,17.14,1.92,4.34,1,40.92,2294991
XL Group Ltd.,XL,1779790,40.98,1.95,875660000.0,3.49,0.95,4.05,1.56,38.22,11000000000.0,0.030019685039370136,0.41,26.25,-0.005413385826771644,0.07139999999999999,0.1429,-0.0002,0.35009999999999997,0.99,11.73,10.11,1.03,5.30,1,35.83,1767988
"Xilinx, Inc.",XLNX,2871200,9.97,2.20,767130000.0,2.28,0.58,2.42,2.28,58.54,14950000000.0,0.003019627579265327,3.02,26.34,-0.003690655930213005,0.026000000000000002,0.0993,-0.035,0.4462,5.98,26.34,24.82,6.42,3.77,0,54.63,2490596
Exxon Mobil Corporation Common,XOM,11285800,41.14,3.67,26890000000.0,4.14,1.03,4.87,1.88,86.18,339140000000.0,0.07618469015795859,1.02,43.49,-0.0023086269744835297,-0.0513,-0.058499999999999996,-0.14429999999999998,0.0262,2.00,19.75,16.79,1.67,2.42,1,86.84,15645973
DENTSPLY SIRONA Inc.,XRAY,1629540,35.17,0.49,726400000.0,2.92,0.77,3.25,1.94,57.78,14520000000.0,0.0676451818761965,2.19,32.43,-0.01084875558391829,0.08900000000000001,0.0616,-0.044199999999999996,0.14400000000000002,1.78,21.55,19.36,3.86,4.32,0,59.27,192383
Xerox Corporation,XRX,13675300,4.74,4.17,2160000000.0,0.85,0.22,0.87,0.58,7.14,7550000000.0,0.14054054054054044,-79.55,12.83,-0.002702702702702786,0.0415,-0.1746,-0.3468,0.1517,1.56,8.75,8.55,0.70,0.81,1,9.01,6461548
Xylem Inc.  New,XYL,1496140,12.20,1.51,587000000.0,2.29,0.56,2.61,1.45,48.79,8580000000.0,0.13738219895287962,1.47,32.97,-0.004188481675392763,-0.0202,-0.0451,-0.1308,0.3125,3.91,20.87,18.31,2.27,2.66,1,50.06,2819403
"Zimmer Biomet Holdings, Inc.",ZBH,1518170,47.82,0.82,2480000000.0,8.56,2.17,9.38,1.50,114.20,23420000000.0,0.1537138927097661,1.40,77.91,-0.0009456671251719673,0.023399999999999997,-0.0007000000000000001,-0.12269999999999999,0.2583,2.43,13.65,12.46,3.03,2.45,1,116.96,1220881
Zions Bancorporation,ZION,2526670,34.10,0.72,0.00,2.46,0.60,2.93,1.99,43.18,9070000000.0,0.02538975501113594,2.03,22.44,-0.009354120267260568,0.034,0.23620000000000002,-0.0191,1.2236,1.32,18.15,15.24,3.98,6.38,0,36.12,1185303
Zoetis Inc. Class A,ZTS,3247990,3.02,0.80,1700000000.0,2.32,0.56,2.65,1.65,54.35,25830000000.0,0.11159530125047357,1.72,31.82,0.004357711254262986,-0.0338,0.0137,-0.0707,0.3344,17.49,22.63,19.82,5.31,3.15,1,51.80,8167474
